STATE_CODE,COUNTY_NAME,COUNTY_CODE
AK,Aleutians East,013
AK,Aleutians West (CA),016
AK,Anchorage,020
AK,Bethel (CA),050
AK,Bristol Bay,060
AK,Denali,068
AK,Dillingham (CA),070
AK,Fairbanks North Star,090
AK,Haines,100
AK,Hoonah-Angoon (CA),105
AK,Juneau,110
AK,Kenai Peninsula,122
AK,Ketchikan Gateway,130
AK,Kodiak Island,150
AK,Lake and Peninsula,164
AK,Matanuska-Susitna,170
AK,Nome (CA),180
AK,North Slope,185
AK,Northwest Arctic,188
AK,Petersburg (CA),195
AK,Prince of Wales-Hyder (CA),198
AK,Sitka,220
AK,Skagway,230
AK,Southeast Fairbanks (CA),240
AK,Valdez-Cordova (CA),261
AK,Wade Hampton (CA),270
AK,Wrangell,275
AK,Yakutat,282
AK,Yukon-Koyukuk (CA),290
AL,Autauga,001
AL,Baldwin,003
AL,Barbour,005
AL,Bibb,007
AL,Blount,009
AL,Bullock,011
AL,Butler,013
AL,Calhoun,015
AL,Chambers,017
AL,Cherokee,019
AL,Chilton,021
AL,Choctaw,023
AL,Clarke,025
AL,Clay,027
AL,Cleburne,029
AL,Coffee,031
AL,Colbert,033
AL,Conecuh,035
AL,Coosa,037
AL,Covington,039
AL,Crenshaw,041
AL,Cullman,043
AL,Dale,045
AL,Dallas,047
AL,DeKalb,049
AL,Elmore,051
AL,Escambia,053
AL,Etowah,055
AL,Fayette,057
AL,Franklin,059
AL,Geneva,061
AL,Greene,063
AL,Hale,065
AL,Henry,067
AL,Houston,069
AL,Jackson,071
AL,Jefferson,073
AL,Lamar,075
AL,Lauderdale,077
AL,Lawrence,079
AL,Lee,081
AL,Limestone,083
AL,Lowndes,085
AL,Macon,087
AL,Madison,089
AL,Marengo,091
AL,Marion,093
AL,Marshall,095
AL,Mobile,097
AL,Monroe,099
AL,Montgomery,101
AL,Morgan,103
AL,Perry,105
AL,Pickens,107
AL,Pike,109
AL,Randolph,111
AL,Russell,113
AL,St. Clair,115
AL,Shelby,117
AL,Sumter,119
AL,Talladega,121
AL,Tallapoosa,123
AL,Tuscaloosa,125
AL,Walker,127
AL,Washington,129
AL,Wilcox,131
AL,Winston,133
AR,Arkansas,001
AR,Ashley,003
AR,Baxter,005
AR,Benton,007
AR,Boone,009
AR,Bradley,011
AR,Calhoun,013
AR,Carroll,015
AR,Chicot,017
AR,Clark,019
AR,Clay,021
AR,Cleburne,023
AR,Cleveland,025
AR,Columbia,027
AR,Conway,029
AR,Craighead,031
AR,Crawford,033
AR,Crittenden,035
AR,Cross,037
AR,Dallas,039
AR,Desha,041
AR,Drew,043
AR,Faulkner,045
AR,Franklin,047
AR,Fulton,049
AR,Garland,051
AR,Grant,053
AR,Greene,055
AR,Hempstead,057
AR,Hot Spring,059
AR,Howard,061
AR,Independence,063
AR,Izard,065
AR,Jackson,067
AR,Jefferson,069
AR,Johnson,071
AR,Lafayette,073
AR,Lawrence,075
AR,Lee,077
AR,Lincoln,079
AR,Little River,081
AR,Logan,083
AR,Lonoke,085
AR,Madison,087
AR,Marion,089
AR,Miller,091
AR,Mississippi,093
AR,Monroe,095
AR,Montgomery,097
AR,Nevada,099
AR,Newton,101
AR,Ouachita,103
AR,Perry,105
AR,Phillips,107
AR,Pike,109
AR,Poinsett,111
AR,Polk,113
AR,Pope,115
AR,Prairie,117
AR,Pulaski,119
AR,Randolph,121
AR,St. Francis,123
AR,Saline,125
AR,Scott,127
AR,Searcy,129
AR,Sebastian,131
AR,Sevier,133
AR,Sharp,135
AR,Stone,137
AR,Union,139
AR,Van Buren,141
AR,Washington,143
AR,White,145
AR,Woodruff,147
AR,Yell,149
AS,American Samoa,000
AZ,Apache,001
AZ,Cochise,003
AZ,Coconino,005
AZ,Gila,007
AZ,Graham,009
AZ,Greenlee,011
AZ,La Paz,012
AZ,Maricopa,013
AZ,Mohave,015
AZ,Navajo,017
AZ,Pima,019
AZ,Pinal,021
AZ,Santa Cruz,023
AZ,Yavapai,025
AZ,Yuma,027
CA,Alameda,001
CA,Alpine,003
CA,Amador,005
CA,Butte,007
CA,Calaveras,009
CA,Colusa,011
CA,Contra Costa,013
CA,Del Norte,015
CA,El Dorado,017
CA,Fresno,019
CA,Glenn,021
CA,Humboldt,023
CA,Imperial,025
CA,Inyo,027
CA,Kern,029
CA,Kings,031
CA,Lake,033
CA,Lassen,035
CA,Los Angeles,037
CA,Madera,039
CA,Marin,041
CA,Mariposa,043
CA,Mendocino,045
CA,Merced,047
CA,Modoc,049
CA,Mono,051
CA,Monterey,053
CA,Napa,055
CA,Nevada,057
CA,Orange,059
CA,Placer,061
CA,Plumas,063
CA,Riverside,065
CA,Sacramento,067
CA,San Benito,069
CA,San Bernardino,071
CA,San Diego,073
CA,San Francisco,075
CA,San Joaquin,077
CA,San Luis Obispo,079
CA,San Mateo,081
CA,Santa Barbara,083
CA,Santa Clara,085
CA,Santa Cruz,087
CA,Shasta,089
CA,Sierra,091
CA,Siskiyou,093
CA,Solano,095
CA,Sonoma,097
CA,Stanislaus,099
CA,Sutter,101
CA,Tehama,103
CA,Trinity,105
CA,Tulare,107
CA,Tuolumne,109
CA,Ventura,111
CA,Yolo,113
CA,Yuba,115
CO,Adams,001
CO,Alamosa,003
CO,Arapahoe,005
CO,Archuleta,007
CO,Baca,009
CO,Bent,011
CO,Boulder,013
CO,Broomfield,014
CO,Chaffee,015
CO,Cheyenne,017
CO,Clear Creek,019
CO,Conejos,021
CO,Costilla,023
CO,Crowley,025
CO,Custer,027
CO,Delta,029
CO,Denver,031
CO,Dolores,033
CO,Douglas,035
CO,Eagle,037
CO,Elbert,039
CO,El Paso,041
CO,Fremont,043
CO,Garfield,045
CO,Gilpin,047
CO,Grand,049
CO,Gunnison,051
CO,Hinsdale,053
CO,Huerfano,055
CO,Jackson,057
CO,Jefferson,059
CO,Kiowa,061
CO,Kit Carson,063
CO,Lake,065
CO,La Plata,067
CO,Larimer,069
CO,Las Animas,071
CO,Lincoln,073
CO,Logan,075
CO,Mesa,077
CO,Mineral,079
CO,Moffat,081
CO,Montezuma,083
CO,Montrose,085
CO,Morgan,087
CO,Otero,089
CO,Ouray,091
CO,Park,093
CO,Phillips,095
CO,Pitkin,097
CO,Prowers,099
CO,Pueblo,101
CO,Rio Blanco,103
CO,Rio Grande,105
CO,Routt,107
CO,Saguache,109
CO,San Juan,111
CO,San Miguel,113
CO,Sedgwick,115
CO,Summit,117
CO,Teller,119
CO,Washington,121
CO,Weld,123
CO,Yuma,125
CT,Fairfield,001
CT,Hartford,003
CT,Litchfield,005
CT,Middlesex,007
CT,New Haven,009
CT,New London,011
CT,Tolland,013
CT,Windham,015
DC,District of Columbia,001
DE,Kent,001
DE,New Castle,003
DE,Sussex,005
FL,Alachua,001
FL,Baker,003
FL,Bay,005
FL,Bradford,007
FL,Brevard,009
FL,Broward,011
FL,Calhoun,013
FL,Charlotte,015
FL,Citrus,017
FL,Clay,019
FL,Collier,021
FL,Columbia,023
FL,DeSoto,027
FL,Dixie,029
FL,Duval,031
FL,Escambia,033
FL,Flagler,035
FL,Franklin,037
FL,Gadsden,039
FL,Gilchrist,041
FL,Glades,043
FL,Gulf,045
FL,Hamilton,047
FL,Hardee,049
FL,Hendry,051
FL,Hernando,053
FL,Highlands,055
FL,Hillsborough,057
FL,Holmes,059
FL,Indian River,061
FL,Jackson,063
FL,Jefferson,065
FL,Lafayette,067
FL,Lake,069
FL,Lee,071
FL,Leon,073
FL,Levy,075
FL,Liberty,077
FL,Madison,079
FL,Manatee,081
FL,Marion,083
FL,Martin,085
FL,Miami-Dade,086
FL,Monroe,087
FL,Nassau,089
FL,Okaloosa,091
FL,Okeechobee,093
FL,Orange,095
FL,Osceola,097
FL,Palm Beach,099
FL,Pasco,101
FL,Pinellas,103
FL,Polk,105
FL,Putnam,107
FL,St. Johns,109
FL,St. Lucie,111
FL,Santa Rosa,113
FL,Sarasota,115
FL,Seminole,117
FL,Sumter,119
FL,Suwannee,121
FL,Taylor,123
FL,Union,125
FL,Volusia,127
FL,Wakulla,129
FL,Walton,131
FL,Washington,133
GA,Appling,001
GA,Atkinson,003
GA,Bacon,005
GA,Baker,007
GA,Baldwin,009
GA,Banks,011
GA,Barrow,013
GA,Bartow,015
GA,Ben Hill,017
GA,Berrien,019
GA,Bibb,021
GA,Bleckley,023
GA,Brantley,025
GA,Brooks,027
GA,Bryan,029
GA,Bulloch,031
GA,Burke,033
GA,Butts,035
GA,Calhoun,037
GA,Camden,039
GA,Candler,043
GA,Carroll,045
GA,Catoosa,047
GA,Charlton,049
GA,Chatham,051
GA,Chattahoochee,053
GA,Chattooga,055
GA,Cherokee,057
GA,Clarke,059
GA,Clay,061
GA,Clayton,063
GA,Clinch,065
GA,Cobb,067
GA,Coffee,069
GA,Colquitt,071
GA,Columbia,073
GA,Cook,075
GA,Coweta,077
GA,Crawford,079
GA,Crisp,081
GA,Dade,083
