"FIPS","State","County","Year","population"
"AL003","alabama","baldwin","2005",160354
"AL015","alabama","calhoun","2005",109762
"AL043","alabama","cullman","2005",78888
"AL049","alabama","dekalb","2005",66407
"AL051","alabama","elmore","2005",68057
"AL055","alabama","etowah","2005",101151
"AL069","alabama","houston","2005",93101
"AL073","alabama","jefferson","2005",641690
"AL077","alabama","lauderdale","2005",85898
"AL081","alabama","lee","2005",118664
"AL083","alabama","limestone","2005",67771
"AL089","alabama","madison","2005",290875
"AL095","alabama","marshall","2005",84662
"AL097","alabama","mobile","2005",393585
"AL101","alabama","montgomery","2005",209374
"AL103","alabama","morgan","2005",112005
"AL115","alabama","st clair","2005",72100
"AL117","alabama","shelby","2005",169822
"AL121","alabama","talladega","2005",76962
"AL125","alabama","tuscaloosa","2005",160947
"AL127","alabama","walker","2005",69096
"AK020","alaska","anchorage municipality","2005",266281
"AK090","alaska","fairbanks north star","2005",83656
"AK170","alaska","matanuskasusitna","2005",75001
"AZ001","arizona","apache","2005",68070
"AZ003","arizona","cochise","2005",120439
"AZ005","arizona","coconino","2005",120776
"AZ013","arizona","maricopa","2005",3590804
"AZ015","arizona","mohave","2005",185969
"AZ017","arizona","navajo","2005",106192
"AZ019","arizona","pima","2005",902720
"AZ021","arizona","pinal","2005",214319
"AZ025","arizona","yavapai","2005",194928
"AZ027","arizona","yuma","2005",175793
"AR007","arkansas","benton","2005",184692
"AR031","arkansas","craighead","2005",84288
"AR045","arkansas","faulkner","2005",91784
"AR051","arkansas","garland","2005",91690
"AR069","arkansas","jefferson","2005",76258
"AR119","arkansas","pulaski","2005",358234
"AR125","arkansas","saline","2005",89380
"AR131","arkansas","sebastian","2005",116426
"AR143","arkansas","washington","2005",173713
"AR145","arkansas","white","2005",67705
"CA001","california","alameda","2005",1421308
"CA007","california","butte","2005",207937
"CA013","california","contra costa","2005",1006486
"CA017","california","el dorado","2005",175790
"CA019","california","fresno","2005",858948
"CA023","california","humboldt","2005",124031
"CA025","california","imperial","2005",144523
"CA029","california","kern","2005",724206
"CA031","california","kings","2005",121418
"CA033","california","lake","2005",63962
"CA037","california","los angeles","2005",9758886
"CA039","california","madera","2005",134159
"CA041","california","marin","2005",235609
"CA045","california","mendocino","2005",86011
"CA047","california","merced","2005",237278
"CA053","california","monterey","2005",389004
"CA055","california","napa","2005",127445
"CA057","california","nevada","2005",97572
"CA059","california","orange","2005",2944537
"CA061","california","placer","2005",314135
"CA065","california","riverside","2005",1911281
"CA067","california","sacramento","2005",1337942
"CA071","california","san bernardino","2005",1916665
"CA073","california","san diego","2005",2824259
"CA075","california","san francisco","2005",719077
"CA077","california","san joaquin","2005",646259
"CA079","california","san luis obispo","2005",239638
"CA081","california","san mateo","2005",689271
"CA083","california","santa barbara","2005",383393
"CA085","california","santa clara","2005",1669890
"CA087","california","santa cruz","2005",240367
"CA089","california","shasta","2005",176570
"CA095","california","solano","2005",395426
"CA097","california","sonoma","2005",453850
"CA099","california","stanislaus","2005",497804
"CA101","california","sutter","2005",87444
"CA107","california","tulare","2005",404909
"CA111","california","ventura","2005",782759
"CA113","california","yolo","2005",176609
"CA115","california","yuba","2005",65818
"CO001","colorado","adams","2005",396032
"CO005","colorado","arapahoe","2005",524207
"CO013","colorado","boulder","2005",271934
"CO031","colorado","denver","2005",545198
"CO035","colorado","douglas","2005",248950
"CO041","colorado","el paso","2005",550130
"CO059","colorado","jefferson","2005",519071
"CO069","colorado","larimer","2005",264807
"CO077","colorado","mesa","2005",126588
"CO101","colorado","pueblo","2005",147187
"CO123","colorado","weld","2005",223966
"CT001","connecticut","fairfield","2005",884050
"CT003","connecticut","hartford","2005",850068
"CT005","connecticut","litchfield","2005",187426
"CT007","connecticut","middlesex","2005",156694
"CT009","connecticut","new haven","2005",817828
"CT011","connecticut","new london","2005",253468
"CT013","connecticut","tolland","2005",133557
"CT015","connecticut","windham","2005",111660
"DE001","delaware","kent","2005",140205
"DE003","delaware","new castle","2005",505271
"DE005","delaware","sussex","2005",173111
"DC001","district of columbia","district of columbia","2005",515118
"FL001","florida","alachua","2005",210323
"FL005","florida","bay","2005",158141
"FL009","florida","brevard","2005",521226
"FL011","florida","broward","2005",1757590
"FL015","florida","charlotte","2005",154716
"FL017","florida","citrus","2005",132209
"FL019","florida","clay","2005",169528
"FL021","florida","collier","2005",302514
"FL031","florida","duval","2005",810698
"FL033","florida","escambia","2005",274663
"FL035","florida","flagler","2005",75757
"FL053","florida","hernando","2005",156325
"FL055","florida","highlands","2005",94177
"FL057","florida","hillsborough","2005",1111717
"FL061","florida","indian river","2005",126258
"FL069","florida","lake","2005",273277
"FL071","florida","lee","2005",539097
"FL073","florida","leon","2005",233649
"FL081","florida","manatee","2005",300828
"FL083","florida","marion","2005",295555
"FL085","florida","martin","2005",136138
"FL086","florida","miamidade","2005",2329187
"FL087","florida","monroe","2005",75074
"FL091","florida","okaloosa","2005",177284
"FL095","florida","orange","2005",1002849
"FL097","florida","osceola","2005",229134
"FL099","florida","palm beach","2005",1247908
"FL101","florida","pasco","2005",423356
"FL103","florida","pinellas","2005",905158
"FL105","florida","polk","2005",530126
"FL107","florida","putnam","2005",72148
"FL109","florida","st johns","2005",159235
"FL111","florida","st lucie","2005",238575
"FL113","florida","santa rosa","2005",140650
"FL115","florida","sarasota","2005",359783
"FL117","florida","seminole","2005",398013
"FL127","florida","volusia","2005",475189
"GA015","georgia","bartow","2005",88189
"GA021","georgia","bibb","2005",149248
"GA045","georgia","carroll","2005",101762
"GA051","georgia","chatham","2005",227915
"GA057","georgia","cherokee","2005",182816
"GA059","georgia","clarke","2005",95217
"GA063","georgia","clayton","2005",264231
"GA067","georgia","cobb","2005",653715
"GA073","georgia","columbia","2005",103069
"GA077","georgia","coweta","2005",109108
"GA089","georgia","dekalb","2005",662973
"GA095","georgia","dougherty","2005",90508
"GA097","georgia","douglas","2005",111765
"GA113","georgia","fayette","2005",103643
"GA115","georgia","floyd","2005",90124
"GA117","georgia","forsyth","2005",139501
"GA121","georgia","fulton","2005",884079
"GA127","georgia","glynn","2005",70373
"GA135","georgia","gwinnett","2005",719398
"GA139","georgia","hall","2005",163204
"GA151","georgia","henry","2005",166871
"GA153","georgia","houston","2005",123176
"GA185","georgia","lowndes","2005",89724
"GA215","georgia","muscogee","2005",175930
"GA217","georgia","newton","2005",85474
"GA223","georgia","paulding","2005",111654
"GA245","georgia","richmond","2005",185150
"GA247","georgia","rockdale","2005",77375
"GA297","georgia","walton","2005",74866
"GA313","georgia","whitfield","2005",89734
"HI001","hawaii","hawaii","2005",164437
"HI003","hawaii","honolulu","2005",873177
"HI009","hawaii","maui","2005",138433
"ID001","idaho","ada","2005",336193
"ID005","idaho","bannock","2005",75817
"ID019","idaho","bonneville","2005",90711
"ID027","idaho","canyon","2005",161761
"ID055","idaho","kootenai","2005",126079
"ID083","idaho","twin falls","2005",71334
"IL001","illinois","adams","2005",64273
"IL019","illinois","champaign","2005",168902
"IL031","illinois","cook","2005",5206357
"IL037","illinois","dekalb","2005",89223
