"Notes","County","County Code","Year","Year Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate
,"Baldwin County, AL","01003","2015","2015","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",16,203709,Unreliable
,"Baldwin County, AL","01003","2015","2015","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",22,203709,10.8
,"Baldwin County, AL","01003","2016","2016","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,208563,Unreliable
,"Baldwin County, AL","01003","2016","2016","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,208563,Unreliable
,"Baldwin County, AL","01003","2017","2017","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,212628,Unreliable
,"Baldwin County, AL","01003","2018","2018","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,218022,Unreliable
,"Baldwin County, AL","01003","2019","2019","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",11,223234,Unreliable
,"Baldwin County, AL","01003","2019","2019","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,223234,Unreliable
,"Blount County, AL","01009","2017","2017","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,58013,Unreliable
,"Calhoun County, AL","01015","2015","2015","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",18,115620,Unreliable
,"Calhoun County, AL","01015","2016","2016","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,114611,Unreliable
,"Calhoun County, AL","01015","2017","2017","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",21,114728,18.3
,"Calhoun County, AL","01015","2018","2018","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,114277,Unreliable
,"Calhoun County, AL","01015","2019","2019","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,113605,Unreliable
,"Cullman County, AL","01043","2015","2015","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,82005,Unreliable
,"DeKalb County, AL","01049","2015","2015","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,71130,Unreliable
,"DeKalb County, AL","01049","2016","2016","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,70900,Unreliable
