"Notes","Year","Year Code","County","County Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2020","2020","Baldwin County, AL","01003","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",21,229287,9.2,5.7,14.0
,"2020","2020","Baldwin County, AL","01003","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",27,229287,11.8,7.8,17.1
,"2020","2020","Calhoun County, AL","01015","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",14,113469,12.3,6.7,20.7
,"2020","2020","Etowah County, AL","01055","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",14,102371,13.7,7.5,22.9
,"2020","2020","Jefferson County, AL","01073","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",20,655342,3.1,1.9,4.7
,"2020","2020","Jefferson County, AL","01073","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",152,655342,23.2,19.5,26.9
,"2020","2020","Jefferson County, AL","01073","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",90,655342,13.7,11.0,16.9
,"2020","2020","Madison County, AL","01089","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",48,379453,12.6,9.3,16.8
,"2020","2020","Madison County, AL","01089","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",37,379453,9.8,6.9,13.4
,"2020","2020","Marshall County, AL","01095","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,96990,10.3,4.9,19.0
,"2020","2020","Mobile County, AL","01097","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",10,412716,2.4,1.2,4.5
,"2020","2020","Mobile County, AL","01097","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",44,412716,10.7,7.7,14.3
,"2020","2020","Mobile County, AL","01097","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",29,412716,7.0,4.7,10.1
,"2020","2020","Montgomery County, AL","01101","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",16,224639,7.1,4.1,11.6
,"2020","2020","Montgomery County, AL","01101","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,224639,5.3,2.8,9.3
,"2020","2020","Morgan County, AL","01103","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,119883,8.3,4.0,15.3
