"GEOID","NAME","variable","estimate","moe","Year"
"01","Alabama","B01003_001",4442558,0,2005
"02","Alaska","B01003_001",641724,0,2005
"04","Arizona","B01003_001",5829839,0,2005
"05","Arkansas","B01003_001",2701431,0,2005
"06","California","B01003_001",35278768,0,2005
"08","Colorado","B01003_001",4562244,0,2005
"09","Connecticut","B01003_001",3394751,0,2005
"10","Delaware","B01003_001",818587,0,2005
"11","District of Columbia","B01003_001",515118,0,2005
"12","Florida","B01003_001",17382511,0,2005
"13","Georgia","B01003_001",8821142,0,2005
"15","Hawaii","B01003_001",1238158,0,2005
"16","Idaho","B01003_001",1395634,0,2005
"17","Illinois","B01003_001",12440351,0,2005
"18","Indiana","B01003_001",6093372,0,2005
"19","Iowa","B01003_001",2862541,0,2005
"20","Kansas","B01003_001",2662616,0,2005
"21","Kentucky","B01003_001",4058633,0,2005
"22","Louisiana","B01003_001",4389747,0,2005
"23","Maine","B01003_001",1283673,0,2005
"24","Maryland","B01003_001",5461318,0,2005
"25","Massachusetts","B01003_001",6182860,0,2005
"26","Michigan","B01003_001",9865583,0,2005
"27","Minnesota","B01003_001",4989848,0,2005
"28","Mississippi","B01003_001",2824156,0,2005
"29","Missouri","B01003_001",5631910,0,2005
"30","Montana","B01003_001",910651,0,2005
"31","Nebraska","B01003_001",1706976,0,2005
"32","Nevada","B01003_001",2381281,0,2005
"33","New Hampshire","B01003_001",1272486,0,2005
"34","New Jersey","B01003_001",8521427,0,2005
"35","New Mexico","B01003_001",1887200,0,2005
"36","New York","B01003_001",18655275,0,2005
"37","North Carolina","B01003_001",8411041,0,2005
"38","North Dakota","B01003_001",609645,0,2005
"39","Ohio","B01003_001",11155606,0,2005
"40","Oklahoma","B01003_001",3433496,0,2005
"41","Oregon","B01003_001",3560109,0,2005
"42","Pennsylvania","B01003_001",11979147,0,2005
"44","Rhode Island","B01003_001",1032662,0,2005
"45","South Carolina","B01003_001",4113961,0,2005
"46","South Dakota","B01003_001",746033,0,2005
"47","Tennessee","B01003_001",5810590,0,2005
"48","Texas","B01003_001",22270165,0,2005
"49","Utah","B01003_001",2427350,0,2005
"50","Vermont","B01003_001",602290,0,2005
"51","Virginia","B01003_001",7332608,0,2005
"53","Washington","B01003_001",6146338,0,2005
"54","West Virginia","B01003_001",1771750,0,2005
"55","Wisconsin","B01003_001",5375751,0,2005
"56","Wyoming","B01003_001",495226,0,2005
"72","Puerto Rico","B01003_001",3865280,0,2005
"01","Alabama","B01003_001",4599030,0,2006
"02","Alaska","B01003_001",670053,0,2006
"04","Arizona","B01003_001",6166318,0,2006
"05","Arkansas","B01003_001",2810872,0,2006
"06","California","B01003_001",36457549,0,2006
"08","Colorado","B01003_001",4753377,0,2006
"09","Connecticut","B01003_001",3504809,0,2006
"10","Delaware","B01003_001",853476,0,2006
"11","District of Columbia","B01003_001",581530,0,2006
"12","Florida","B01003_001",18089889,0,2006
"13","Georgia","B01003_001",9363941,0,2006
"15","Hawaii","B01003_001",1285498,0,2006
"16","Idaho","B01003_001",1466465,0,2006
"17","Illinois","B01003_001",12831970,0,2006
"18","Indiana","B01003_001",6313520,0,2006
"19","Iowa","B01003_001",2982085,0,2006
"20","Kansas","B01003_001",2764075,0,2006
"21","Kentucky","B01003_001",4206074,0,2006
"22","Louisiana","B01003_001",4287768,0,2006
"23","Maine","B01003_001",1321574,0,2006
"24","Maryland","B01003_001",5615727,0,2006
"25","Massachusetts","B01003_001",6437193,0,2006
"26","Michigan","B01003_001",10095643,0,2006
"27","Minnesota","B01003_001",5167101,0,2006
"28","Mississippi","B01003_001",2910540,0,2006
"29","Missouri","B01003_001",5842713,0,2006
"30","Montana","B01003_001",944632,0,2006
"31","Nebraska","B01003_001",1768331,0,2006
"32","Nevada","B01003_001",2495529,0,2006
"33","New Hampshire","B01003_001",1314895,0,2006
"34","New Jersey","B01003_001",8724560,0,2006
"35","New Mexico","B01003_001",1954599,0,2006
"36","New York","B01003_001",19306183,0,2006
"37","North Carolina","B01003_001",8856505,0,2006
"38","North Dakota","B01003_001",635867,0,2006
"39","Ohio","B01003_001",11478006,0,2006
"40","Oklahoma","B01003_001",3579212,0,2006
"41","Oregon","B01003_001",3700758,0,2006
"42","Pennsylvania","B01003_001",12440621,0,2006
"44","Rhode Island","B01003_001",1067610,0,2006
"45","South Carolina","B01003_001",4321249,0,2006
"46","South Dakota","B01003_001",781919,0,2006
"47","Tennessee","B01003_001",6038803,0,2006
"48","Texas","B01003_001",23507783,0,2006
"49","Utah","B01003_001",2550063,0,2006
"50","Vermont","B01003_001",623908,0,2006
"51","Virginia","B01003_001",7642884,0,2006
"53","Washington","B01003_001",6395798,0,2006
"54","West Virginia","B01003_001",1818470,0,2006
"55","Wisconsin","B01003_001",5556506,0,2006
"56","Wyoming","B01003_001",515004,0,2006
"72","Puerto Rico","B01003_001",3927776,0,2006
"01","Alabama","B01003_001",4627851,0,2007
"02","Alaska","B01003_001",683478,0,2007
"04","Arizona","B01003_001",6338755,0,2007
"05","Arkansas","B01003_001",2834797,0,2007
"06","California","B01003_001",36553215,0,2007
"08","Colorado","B01003_001",4861515,0,2007
"09","Connecticut","B01003_001",3502309,0,2007
"10","Delaware","B01003_001",864764,0,2007
"11","District of Columbia","B01003_001",588292,0,2007
"12","Florida","B01003_001",18251243,0,2007
"13","Georgia","B01003_001",9544750,0,2007
"15","Hawaii","B01003_001",1283388,0,2007
"16","Idaho","B01003_001",1499402,0,2007
"17","Illinois","B01003_001",12852548,0,2007
"18","Indiana","B01003_001",6345289,0,2007
"19","Iowa","B01003_001",2988047,0,2007
"20","Kansas","B01003_001",2775997,0,2007
"21","Kentucky","B01003_001",4241474,0,2007
"22","Louisiana","B01003_001",4293204,0,2007
"23","Maine","B01003_001",1317207,0,2007
"24","Maryland","B01003_001",5618344,0,2007
"25","Massachusetts","B01003_001",6449755,0,2007
"26","Michigan","B01003_001",10071822,0,2007
"27","Minnesota","B01003_001",5197621,0,2007
"28","Mississippi","B01003_001",2918785,0,2007
"29","Missouri","B01003_001",5878415,0,2007
"30","Montana","B01003_001",957861,0,2007
"31","Nebraska","B01003_001",1774571,0,2007
"32","Nevada","B01003_001",2565382,0,2007
"33","New Hampshire","B01003_001",1315828,0,2007
"34","New Jersey","B01003_001",8685920,0,2007
"35","New Mexico","B01003_001",1969915,0,2007
"36","New York","B01003_001",19297729,0,2007
"37","North Carolina","B01003_001",9061032,0,2007
"38","North Dakota","B01003_001",639715,0,2007
"39","Ohio","B01003_001",11466917,0,2007
"40","Oklahoma","B01003_001",3617316,0,2007
"41","Oregon","B01003_001",3747455,0,2007
"42","Pennsylvania","B01003_001",12432792,0,2007
"44","Rhode Island","B01003_001",1057832,0,2007
"45","South Carolina","B01003_001",4407709,0,2007
"46","South Dakota","B01003_001",796215,0,2007
"47","Tennessee","B01003_001",6156719,0,2007
"48","Texas","B01003_001",23904380,0,2007
"49","Utah","B01003_001",2645330,0,2007
"50","Vermont","B01003_001",621254,0,2007
"51","Virginia","B01003_001",7712091,0,2007
"53","Washington","B01003_001",6468424,0,2007
"54","West Virginia","B01003_001",1812035,0,2007
"55","Wisconsin","B01003_001",5601640,0,2007
"56","Wyoming","B01003_001",522830,0,2007
"72","Puerto Rico","B01003_001",3942375,0,2007
"01","Alabama","B01003_001",4661900,0,2008
"02","Alaska","B01003_001",686293,0,2008
"04","Arizona","B01003_001",6500180,0,2008
"05","Arkansas","B01003_001",2855390,0,2008
"06","California","B01003_001",36756666,0,2008
"08","Colorado","B01003_001",4939456,0,2008
"09","Connecticut","B01003_001",3501252,0,2008
"10","Delaware","B01003_001",873092,0,2008
"11","District of Columbia","B01003_001",591833,0,2008
"12","Florida","B01003_001",18328340,0,2008
"13","Georgia","B01003_001",9685744,0,2008
"15","Hawaii","B01003_001",1288198,0,2008
"16","Idaho","B01003_001",1523816,0,2008
"17","Illinois","B01003_001",12901564,0,2008
"18","Indiana","B01003_001",6376792,0,2008
"19","Iowa","B01003_001",3002557,0,2008
"20","Kansas","B01003_001",2802134,0,2008
"21","Kentucky","B01003_001",4269245,0,2008
"22","Louisiana","B01003_001",4410796,0,2008
"23","Maine","B01003_001",1316456,0,2008
"24","Maryland","B01003_001",5633597,0,2008
"25","Massachusetts","B01003_001",6497967,0,2008
"26","Michigan","B01003_001",10003422,0,2008
"27","Minnesota","B01003_001",5220393,0,2008
"28","Mississippi","B01003_001",2938618,0,2008
"29","Missouri","B01003_001",5911605,0,2008
"30","Montana","B01003_001",967440,0,2008
"31","Nebraska","B01003_001",1783432,0,2008
"32","Nevada","B01003_001",2600167,0,2008
"33","New Hampshire","B01003_001",1315809,0,2008
"34","New Jersey","B01003_001",8682661,0,2008
"35","New Mexico","B01003_001",1984356,0,2008
"36","New York","B01003_001",19490297,0,2008
"37","North Carolina","B01003_001",9222414,0,2008
"38","North Dakota","B01003_001",641481,0,2008
"39","Ohio","B01003_001",11485910,0,2008
"40","Oklahoma","B01003_001",3642361,0,2008
"41","Oregon","B01003_001",3790060,0,2008
"42","Pennsylvania","B01003_001",12448279,0,2008
"44","Rhode Island","B01003_001",1050788,0,2008
"45","South Carolina","B01003_001",4479800,0,2008
"46","South Dakota","B01003_001",804194,0,2008
"47","Tennessee","B01003_001",6214888,0,2008
"48","Texas","B01003_001",24326974,0,2008
"49","Utah","B01003_001",2736424,0,2008
"50","Vermont","B01003_001",621270,0,2008
"51","Virginia","B01003_001",7769089,0,2008
"53","Washington","B01003_001",6549224,0,2008
"54","West Virginia","B01003_001",1814468,0,2008
"55","Wisconsin","B01003_001",5627968,0,2008
"56","Wyoming","B01003_001",532668,0,2008
"72","Puerto Rico","B01003_001",3954037,0,2008
"01","Alabama","B01003_001",4708708,0,2009
