"FIPS","FIPS_num","State","County","Year","Deaths","population","rate"
"AL001","01001",NA,NA,2005,0,NA,NA
"AL001","01001",NA,NA,2006,0,NA,NA
"AL001","01001",NA,NA,2007,0,NA,NA
"AL001","01001",NA,NA,2008,0,NA,NA
"AL001","01001",NA,NA,2009,0,NA,NA
"AL001","01001","alabama","autauga",2010,0,53155,0
"AL001","01001","alabama","autauga",2011,0,53944,0
"AL001","01001","alabama","autauga",2012,0,54590,0
"AL001","01001","alabama","autauga",2013,0,54907,0
"AL001","01001","alabama","autauga",2014,0,55136,0
"AL001","01001","alabama","autauga",2015,0,55221,0
"AL001","01001","alabama","autauga",2016,0,55049,0
"AL001","01001","alabama","autauga",2017,0,55036,0
"AL001","01001","alabama","autauga",2018,0,55200,0
"AL001","01001","alabama","autauga",2019,0,55380,0
"AL001","01001","alabama","autauga",2020,0,55639,0
"AL001","01001","alabama","autauga",2021,0,58239,0
"AL001","01001","alabama","autauga",2022,0,58761,0
"AL001","01001","alabama","autauga",2023,0,59285,0
"AL003","01003","alabama","baldwin",2005,10,160354,6.23620240218517
"AL003","01003","alabama","baldwin",2006,0,169162,0
"AL003","01003","alabama","baldwin",2007,15,171769,8.73265839586887
"AL003","01003","alabama","baldwin",2008,13,174439,7.45246189212275
"AL003","01003","alabama","baldwin",2009,20,179878,11.1186470830229
"AL003","01003","alabama","baldwin",2010,18,175791,10.2394320528355
"AL003","01003","alabama","baldwin",2011,22,179523,12.254697169722
"AL003","01003","alabama","baldwin",2012,18,183226,9.82393328457752
"AL003","01003","alabama","baldwin",2013,0,187114,0
"AL003","01003","alabama","baldwin",2014,31,191205,16.2129651421249
"AL003","01003","alabama","baldwin",2015,38,195121,19.4750949410878
"AL003","01003","alabama","baldwin",2016,22,199510,11.0270161896647
"AL003","01003","alabama","baldwin",2017,12,203360,5.90086546026751
"AL003","01003","alabama","baldwin",2018,10,208107,4.80522039143325
"AL003","01003","alabama","baldwin",2019,21,212830,9.86703002396279
"AL003","01003","alabama","baldwin",2020,48,218289,21.9891978065775
"AL003","01003","alabama","baldwin",2021,79,227131,34.7816898617978
"AL003","01003","alabama","baldwin",2022,61,233420,26.1331505440836
"AL003","01003","alabama","baldwin",2023,70,239945,29.1733522265519
"AL005","01005",NA,NA,2005,0,NA,NA
"AL005","01005",NA,NA,2006,0,NA,NA
"AL005","01005",NA,NA,2007,0,NA,NA
"AL005","01005",NA,NA,2008,0,NA,NA
"AL005","01005",NA,NA,2009,0,NA,NA
"AL005","01005","alabama","barbour",2010,0,27699,0
"AL005","01005","alabama","barbour",2011,0,27546,0
"AL005","01005","alabama","barbour",2012,0,27469,0
"AL005","01005","alabama","barbour",2013,0,27321,0
"AL005","01005","alabama","barbour",2014,0,27119,0
"AL005","01005","alabama","barbour",2015,0,26932,0
"AL005","01005","alabama","barbour",2016,0,26614,0
"AL005","01005","alabama","barbour",2017,0,26201,0
"AL005","01005","alabama","barbour",2018,0,25782,0
"AL005","01005","alabama","barbour",2019,0,25361,0
"AL005","01005","alabama","barbour",2020,0,25026,0
"AL005","01005","alabama","barbour",2021,0,25259,0
"AL005","01005","alabama","barbour",2022,0,24877,0
"AL005","01005","alabama","barbour",2023,0,24757,0
"AL007","01007",NA,NA,2005,0,NA,NA
"AL007","01007",NA,NA,2006,0,NA,NA
"AL007","01007",NA,NA,2007,0,NA,NA
"AL007","01007",NA,NA,2008,0,NA,NA
"AL007","01007",NA,NA,2009,0,NA,NA
"AL007","01007","alabama","bibb",2010,0,22610,0
"AL007","01007","alabama","bibb",2011,0,22746,0
"AL007","01007","alabama","bibb",2012,0,22769,0
"AL007","01007","alabama","bibb",2013,0,22754,0
"AL007","01007","alabama","bibb",2014,0,22653,0
"AL007","01007","alabama","bibb",2015,0,22604,0
"AL007","01007","alabama","bibb",2016,0,22572,0
"AL007","01007","alabama","bibb",2017,0,22580,0
